APP_ID_C,target
app_108941,0.008396339
app_108942,0.001502939
app_108943,0.024526026
app_108944,0.014979036
app_108945,0.007024396
app_108946,0.007526001
app_108947,0.017293805
app_108948,0.009817537
app_108949,0.004689889
app_108950,0.04965805
app_108951,0.000331188
app_108952,0.01027151
app_108953,0.051485427
app_108954,0.008372235
app_108955,0.002723214
app_108956,0.036757536
app_108957,0.004032024
app_108958,0.018891094
app_108959,0.004689889
app_108960,0.04716231
app_108961,0.008766106
app_108962,0.00046043
app_108963,0.007766887
app_108964,0.000856415
app_108965,0.003644497
app_108966,0.02176583
app_108967,0.030481184
app_108968,0.020338371
app_108969,0.003374869
app_108970,0.006539876
app_108971,0.010257738
app_108972,0.009328983
app_108973,0.010946586
app_108974,0.008867051
app_108975,0.014605422
app_108976,0.002288645
app_108977,0.00115607
app_108978,0.004479394
app_108979,0.004200847
app_108980,0.001113828
app_108981,0.03527317
app_108982,0.012585945
app_108983,0.027632788
app_108984,0.001234325
app_108985,0.004729545
app_108986,0.000161357
app_108987,0.014316189
app_108988,0.027632788
app_108989,0.027632788
app_108990,0.000227713
app_108991,0.001462749
app_108992,0.010072684
app_108993,0.01353886
app_108994,0.034036074
app_108995,0.001862577
app_108996,0.027632788
app_108997,0.045415454
app_108998,0.007492518
app_108999,0.042699777
app_109000,0.000951752
app_109001,0.08318458
app_109002,0.011513363
app_109003,0.05248115
app_109004,0.027632788
app_109005,0.033938203
app_109006,0.006435596
app_109007,0.022566713
app_109008,0.000233053
app_109009,0.010993971
app_109010,0.003281066
app_109011,0.002892515
app_109012,0.021746486
app_109013,0.013984658
app_109014,0.034575406
app_109015,0.001205318
app_109016,0.002484127
app_109017,0.010240034
app_109018,0.000905623
app_109019,9.89E-05
app_109020,0.02837844
app_109021,0.006080259
app_109022,0.002487139
app_109023,0.001334532
app_109024,0.006889831
app_109025,0.004125075
app_109026,0.05379127
app_109027,0.000832356
app_109028,0.004142532
app_109029,0.000786875
app_109030,0.003590599
app_109031,0.012599035
app_109032,0.008119092
app_109033,0.01219218
app_109034,0.03335108
app_109035,0.026288211
app_109036,0.061942182
app_109037,0.000924384
app_109038,0.008567431
app_109039,0.002143862
app_109040,0.03365247
app_109041,0.000565093
app_109042,0.004689889
app_109043,0.000851788
app_109044,0.004689889
app_109045,0.006414795
app_109046,0.006746715
app_109047,0.04544901
app_109048,0.009083638
app_109049,0.022835936
app_109050,0.00989641
app_109051,0.027632788
app_109052,0.009602675
app_109053,0.011785509
app_109054,0.009994085
app_109055,0.000209488
app_109056,0.029172776
app_109057,0.018600598
app_109058,0.006487723
app_109059,0.051226787
app_109060,0.002665484
app_109061,0.000228728
app_109062,0.011184105
app_109063,0.012922747
app_109064,0.0762972
app_109065,0.004689889
app_109066,0.01719841
app_109067,0.027632788
app_109068,0.006707652
app_109069,0.001841522
app_109070,0.022566713
app_109071,0.005270066
app_109072,0.0096744
app_109073,0.006394825
app_109074,0.005583438
app_109075,0.004689889
app_109076,0.003263841
app_109077,0.001841263
app_109078,0.001273575
app_109079,0.001021232
app_109080,0.021766922
app_109081,0.002539658
app_109082,0.009447939
app_109083,0.058427908
app_109084,0.18591166
app_109085,0.001546763
app_109086,0.000295403
app_109087,0.006075878
app_109088,0.014861485
app_109089,0.006136699
app_109090,0.025891354
app_109091,0.000486384
app_109092,0.006999747
app_109093,0.031267863
app_109094,0.02794774
app_109095,0.026621137
app_109096,0.004740981
app_109097,0.0224844
app_109098,0.014519919
app_109099,0.00118588
app_109100,0.02288133
app_109101,0.012631424
app_109102,0.048044544
app_109103,0.011203717
app_109104,0.082158946
app_109105,0.04834093
app_109106,0.02176583
app_109107,0.05195343
app_109108,0.00704263
app_109109,0.019930832
app_109110,0.007932015
app_109111,0.001499748
app_109112,0.002150268
app_109113,0.066112004
app_109114,0.005954074
app_109115,0.002541042
app_109116,0.031581566
app_109117,0.011470084
app_109118,0.044088803
app_109119,0.001905433
app_109120,0.008487931
app_109121,0.006322817
app_109122,0.003659666
app_109123,0.014169209
app_109124,0.007501026
app_109125,0.01907633
app_109126,0.007807969
app_109127,0.022566713
app_109128,0.04436663
app_109129,0.021391487
app_109130,0.011939697
app_109131,0.007385249
app_109132,0.12099175
app_109133,0.004226124
app_109134,0.003173407
app_109135,0.001668776
app_109136,0.020394046
app_109137,0.00754562
app_109138,0.00434119
app_109139,0.000953737
app_109140,0.0231229
app_109141,0.01929933
app_109142,0.001526598
app_109143,0.000248983
app_109144,0.016049346
app_109145,0.01236686
app_109146,0.020407839
app_109147,0.09504151
app_109148,0.000645878
app_109149,0.008523758
app_109150,0.14266883
app_109151,0.007175367
app_109152,0.08074549
app_109153,0.01370499
app_109154,0.003716315
app_109155,5.69E-05
app_109156,0.027347656
app_109157,0.002187025
app_109158,0.000707594
app_109159,0.034707714
app_109160,0.007874296
app_109161,0.008766106
app_109162,0.03349559
app_109163,0.002081372
app_109164,0.005999682
app_109165,0.00983091
app_109166,0.002416026
app_109167,0.012403641
app_109168,0.000655258
app_109169,0.031729773
app_109170,0.022279043
app_109171,0.008019198
app_109172,0.007536373
app_109173,0.035360195
app_109174,0.001158205
app_109175,0.018328222
app_109176,0.027495492
app_109177,0.010144834
app_109178,0.005994503
app_109179,0.006761478
app_109180,0.012085683
app_109181,0.008427943
app_109182,0.022279043
app_109183,0.011729423
app_109184,0.006599418
app_109185,0.015436224
app_109186,0.003541793
app_109187,0.023769205
app_109188,0.09466593
app_109189,0.00287104
app_109190,0.0280708
app_109191,0.013620041
app_109192,0.03527317
app_109193,0.000441544
app_109194,0.016838456
app_109195,0.004714989
app_109196,0.008064059
app_109197,0.073671944
app_109198,0.002340095
app_109199,0.000709968
app_109200,0.001228233
app_109201,0.027632788
app_109202,0.04058118
app_109203,0.009994085
app_109204,0.022756929
app_109205,0.005807926
app_109206,0.00437644
app_109207,0.05816157
app_109208,0.003525766
app_109209,0.02214459
app_109210,0.013921905
app_109211,0.003828566
app_109212,0.006764011
app_109213,0.017781332
app_109214,0.013431641
app_109215,0.005625414
app_109216,0.000465045
app_109217,0.027632788
